Var1,Var2,Var3
id,intensity,label
412,2.27204959773386,Globus_pallidus_externalis_R
413,0.906878279018327,Globus_pallidus_internalis_R
414,0.101955227871426,Amygdala_R
415,0.443775113872302,Substantia_nigra_pars_compacta_R
416,0.373793087166561,Substantia_nigra_pars_reticulata_R
417,0.542286178895405,Ventral_tegmenta_area_R
418,0.0834497914315676,Mammillary_bodies_R
419,0.544415930424418,Septal_nucleus_R
420,0.650194035823545,Nuclei_basal_R
421,-0.029881610038911,Left_I_IV
422,-0.0292168310787596,Right_I_IV
423,-0.0109334233281713,Left_V
424,-0.0119675233828774,Right_V
425,0.0220509285907071,Left_VI
426,-0.0353793994786613,Vermis_VI
427,0.0117319325920865,Right_VI
428,0.00478778361253664,Left_CrusI
429,-0.0874219968639038,Vermis_CrusI
430,-0.0316812028148615,Right_CrusI
431,0.0293136848738005,Left_CrusII
432,-0.040294385712286,Vermis_CrusII
433,-0.0137682514292624,Right_CrusII
434,0.0399090247494965,Left_VIIb
435,0.0415764414663984,Vermis_VIIb
436,0.0250652945977724,Right_VIIb
437,0.0645775977004416,Left_VIIIa
438,-0.00713398047282985,Vermis_VIIIa
439,0.0685006665369317,Right_VIIIa
440,-0.0126614082801679,Left_VIIIb
441,-0.0262531748811303,Vermis_VIIIb
442,0.0774079879729254,Right_VIIIb
443,-0.0741318287330373,Left_IX
444,0.0319282144579964,Vermis_IX
445,-0.0389410555748775,Right_IX
446,-0.0861476777995727,Left_X
447,-0.0583264213823964,Vermis_X
448,-0.0832166833084734,Right_X
449,0.166504233578659,Left_Dentate
450,0.191184269686637,Right_Dentate
451,0.137268347354122,Left_Interposed
452,0.155430366462063,Right_Interposed
453,0.109043557024388,Left_Fastigial
454,0.130989982436101,Right_Fastigial
455,1.73374619509454,Acc_L
456,3.59345724740901,Cau-ia_L
457,1.78799578564805,Cau-im_L
458,3.56843790262938,Cau-sa_L
459,1.50748877204829,Cau-sp_L
460,3.30142860403775,Put-ia_L
461,3.77313017072501,Put-im_L
462,3.79174747119087,Put-sa_L
463,2.60350408032537,Put-sm_L
464,2.40884981608099,Put-sp_L
465,0.425921501591802,STN_L
466,1.84761586582955,Acc_R
467,3.63752823017988,Cau-ia_R
468,3.24332469303546,Cau-im_R
469,3.11257028906313,Cau-sa_R
470,1.83842258168046,Cau-sp_R
471,3.16484270571104,Put-ia_R
472,3.55379016293173,Put-im_R
473,4.03185564018132,Put-sa_R
474,3.17018024798913,Put-sm_R
475,2.57368622423105,Put-sp_R
476,0.37936720845324,STN_R
